id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFGOYQWE,松山湖实验中学临时停车场,事件活动;公众活动;公众活动,220100,[],[],113.872966,22.932454,113.86803732600994,22.935381543557448,[],广东省,东莞市,东莞市,事件活动,公众活动,公众活动
B0FFHFJGXP,2016东莞.棕榈谷水上乐园梦幻灯光节,事件活动;公众活动;节日庆典,220101,[],棕榈谷水城内,113.792471,23.004146,113.78733839904434,23.006907669199247,0769-89877451;0769-89877461,广东省,东莞市,东莞市,事件活动,公众活动,节日庆典
B0FFGOYQOF,工业西路临时停车场,事件活动;公众活动;公众活动,220100,[],松山湖工业西路与科技四路交汇处,113.887978,22.955866,113.88307229519776,22.958796591113813,[],广东省,东莞市,东莞市,事件活动,公众活动,公众活动
B0FFHGY9JK,广州数控机床会展中心第十二展厅,事件活动;公众活动;展会展览,220102,[],凤深大道与福民路交叉口东60米,114.16501,22.718357,114.16000539947689,22.721084629048928,[],广东省,东莞市,东莞市,事件活动,公众活动,展会展览
B0FFGOYQOH,松山湖松湖广场临时停车场,事件活动;公众活动;公众活动,220100,[],松山湖生态景区内,113.883432,22.91602,113.87852237565671,22.91896437705816,[],广东省,东莞市,东莞市,事件活动,公众活动,公众活动
