id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0GKH514UA,鱼乐海洋(百信广场西区店),室内设施;室内设施;室内设施|购物服务;购物相关场所;购物相关场所,970000|060000,[],机场路1399号百信广场西区L3层XL2034,113.258656,23.194794,113.2533252,23.197448,[],广东省,广州市,白云区,室内设施,室内设施,室内设施
B0GRVUSG7J,广州白云机场旅客计时休息室,室内设施;室内设施;室内设施|生活服务;生活服务场所;生活服务场所,970000|070000,[],机场大道东888号广州白云国际机场B1,113.303262,23.386395,113.29786379122449,23.388947848016908,[],广东省,广州市,花都区,室内设施,室内设施,室内设施
B0FFGKKKR3,问讯处(广州白云国际机场),室内设施;室内设施;室内设施|生活服务;生活服务场所;生活服务场所,970000|070000,[],机场大道东888号广州白云国际机场T1航站楼1F层,113.302759,23.385874,113.29736175009432,23.388427779498272,[],广东省,广州市,花都区,室内设施,室内设施,室内设施
B0FFHEJFO5,服务中心,室内设施;室内设施;室内设施|生活服务;生活服务场所;生活服务场所,970000|070000,[],阳光北路55号阳光广场猎人网咖,113.167465,23.467883,113.1620189378362,23.4703729582778,[],广东省,广州市,花都区,室内设施,室内设施,室内设施
B0FFGI6CU9,客运值班室(广州北站),室内设施;室内设施;室内设施|生活服务;生活服务场所;生活服务场所,970000|070000,[],站前路1号广州北站2F层,113.20451,23.376625,113.19913534283604,23.379192741077063,[],广东省,广州市,花都区,室内设施,室内设施,室内设施
