id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFGQB6LS,浔峰洲收费站(S81广州环城高速北向),道路附属设施;收费站;收费站,180200,[],南海区,113.198342,23.14596,113.1929734171938,23.148587950195605,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFFMFZKH,明城收费站(S5广台高速入口),道路附属设施;收费站;收费站,180200,[],高明区,112.672441,22.86503,112.66738135773956,22.86791932234719,[],广东省,佛山市,高明区,道路附属设施,收费站,收费站
BZ7OP5020G,环镇西收费站(S5广台高速出口乐从方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.081527,22.927791,113.07605423114808,22.9303790592526,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7QP6020O,浔峰洲收费站(S81广州环城高速南向),道路附属设施;收费站;收费站,180200,[],南海区,113.197745,23.146052,113.19237544647082,23.14867893870764,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7OP501YB,环镇西收费站(S5广台高速入口广州方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.081202,22.927169,113.07572961750532,22.92975756456429,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7QP60237,广佛新干线收费站(S47广佛江珠高速出口),道路附属设施;收费站;收费站,180200,[],南海区,113.168126,23.086912,113.16270710898868,23.0895091606592,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFGQ73UP,龙江收费站(G1508广州绕城高速出口),道路附属设施;收费站;收费站,180200,[],顺德区,113.084318,22.836889,113.07884862003456,22.83951156733324,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
B0FFH0KT71,龙江收费站(G1508广州绕城高速入口),道路附属设施;收费站;收费站,180200,[],顺德区,113.084195,22.837098,113.07872571863912,22.8397205650857,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7QP6021D,横江收费站(S47广佛江珠高速出口盐步方向),道路附属设施;收费站;收费站,180200,[],南海区,113.167099,23.112021,113.16167650191316,23.1146058107076,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7OP5020H,乐从收费站(S5广台高速出口乐从方向),道路附属设施;收费站;收费站,180200,[],顺德区,113.097677,22.927746,113.09219367819244,22.930327934317365,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7QP6021C,广佛新干线收费站(S47广佛江珠高速入口),道路附属设施;收费站;收费站,180200,[],南海区,113.167341,23.086774,113.16192065864948,23.08936973684567,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFKGN8JT,清水路,道路附属设施;警示信息;违章停车,180104,[],禅城区,113.10024,23.019079,113.0947499827194,23.021621888273497,[],广东省,佛山市,禅城区,道路附属设施,警示信息,违章停车
BZ7OP5027D,罗格服务区(建设中),道路附属设施;服务区;高速服务区,180300,[],禅城区,113.011565,22.99088,113.00626337010902,22.993586203373045,[],广东省,佛山市,禅城区,道路附属设施,服务区,高速服务区
BZ7PP601HN,海八路收费站(S47广佛江珠高速入口),道路附属设施;收费站;收费站,180200,[],南海区,113.168645,23.079854,113.16322755232608,23.082455106901275,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7OP5027C,罗格服务区(建设中),道路附属设施;服务区;高速服务区,180300,[],禅城区,113.012155,22.991491,113.00685126681746,22.99419518456117,[],广东省,佛山市,禅城区,道路附属设施,服务区,高速服务区
B0GR0KW0BX,广佛新干线站,道路附属设施;收费站;收费站,180200,[],岭南轩东南侧150米,113.167279,23.086819,113.16185854044312,23.08941460105228,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP6020X,横江收费站(S47广佛江珠高速入口南向),道路附属设施;收费站;收费站,180200,[],南海区,113.166778,23.114942,113.16135470849572,23.11752501034634,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP601L3,海八路收费站(S47广佛江珠高速出口),道路附属设施;收费站;收费站,180200,[],南海区,113.167928,23.078225,113.1625093275408,23.080825438967,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
B0FFGQAOK8,泌冲收费站(S15广佛高速出口泌冲方向),道路附属设施;收费站;收费站,180200,[],南海区,113.186248,23.144096,113.1808588217532,23.146703769308694,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP6020Z,横江收费站(S47广佛江珠高速入口北向),道路附属设施;收费站;收费站,180200,[],南海区,113.168285,23.12532,113.16286380752256,23.12790163645026,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP6020Y,横江收费站(S47广佛江珠高速出口盐步方向),道路附属设施;收费站;收费站,180200,[],南海区,113.167546,23.125274,113.16212343554828,23.12785425980821,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP601I0,海八路收费站(海八东路出口罗村方向),道路附属设施;收费站;收费站,180200,[],南海区,113.171687,23.066892,113.16627610788068,23.069504348102697,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP602BK,泌冲收费站(S15广佛高速入口西向),道路附属设施;收费站;收费站,180200,[],南海区,113.182593,23.145398,113.17719709334222,23.14799855838201,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7NP601JP,北滘收费站(S5广台高速出口),道路附属设施;收费站;收费站,180200,[],顺德区,113.185648,22.906177,113.18027372725106,22.908884092552885,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7NP601JO,北滘收费站(S5广台高速入口),道路附属设施;收费站;收费站,180200,[],顺德区,113.184662,22.906599,113.17928591721964,22.909304118289487,[],广东省,佛山市,顺德区,道路附属设施,收费站,收费站
BZ7RP500IG,官华路收费站(S16佛清从高速入口高明方向),道路附属设施;收费站;收费站,180200,[],南海区,113.019272,23.170956,113.0139317579425,23.17356476345882,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP500HU,虹岭路收费站(S16佛清从高速入口乐平方向),道路附属设施;收费站;收费站,180200,[],南海区,113.019204,23.188836,113.013862789989,23.191438288443504,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500W5,桃园路收费站(S16佛清从高速入口),道路附属设施;收费站;收费站,180200,[],南海区,113.015532,23.148701,113.01020606016904,23.151329219068,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500WM,桃园路收费站(S16佛清从高速出口松岗方向),道路附属设施;收费站;收费站,180200,[],南海区,113.017482,23.157132,113.0121487885368,23.15975123927545,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500YT,桃园路收费站(S55广三高速出口),道路附属设施;收费站;收费站,180200,[],南海区,113.014889,23.145871,113.0095654732278,23.14850221938749,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP500IA,官华路收费站(S16佛清从高速出口官华路方向),道路附属设施;收费站;收费站,180200,[],南海区,113.018902,23.176865,113.01356261935275,23.179472602292424,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500W8,博爱路收费站(S16佛清从高速出口狮山方向),道路附属设施;收费站;收费站,180200,[],南海区,113.01268,23.113016,113.00736634763751,23.11566694540142,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500WB,博爱路收费站(S16佛清从高速入口北向),道路附属设施;收费站;收费站,180200,[],南海区,113.013999,23.122174,113.00868014338324,23.124817311508576,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500WA,博爱路收费站(S16佛清从高速入口南向),道路附属设施;收费站;收费站,180200,[],南海区,113.012681,23.11698,113.00736707971366,23.119629323250315,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500W2,兴业路收费站(S16佛清从高速出口丹灶方向),道路附属设施;收费站;收费站,180200,[],南海区,113.010186,23.100477,113.00488192156097,23.103140538601675,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500VZ,兴业路收费站(S16佛清从高速入口乐平方向),道路附属设施;收费站;收费站,180200,[],南海区,113.010583,23.099259,113.0052776074898,23.10192185701053,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP501PN,桂丹收费站(S16佛清从高速入口),道路附属设施;收费站;收费站,180200,[],南海区,113.007674,23.08043,113.00238011543684,23.08310944879588,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP500W9,桂丹收费站(S16佛清从高速出口桂城方向),道路附属设施;收费站;收费站,180200,[],南海区,113.011181,23.083021,113.00587459042303,23.085688852269268,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP501PM,桂丹收费站(S16佛清从高速出口丹灶方向),道路附属设施;收费站;收费站,180200,[],南海区,113.008271,23.080071,113.00297502916,23.082748804801025,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7QP5011M,桂丹收费站(S16佛清从高速入口),道路附属设施;收费站;收费站,180200,[],南海区,113.007753,23.081537,113.00245876244992,23.08421574531697,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP501PR,上下柏收费站(S16佛清从高速出口),道路附属设施;收费站;收费站,180200,[],南海区,113.009598,23.063095,113.0042984781288,23.065776010368467,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7PP501PS,上下柏收费站(S16佛清从高速入口),道路附属设施;收费站;收费站,180200,[],南海区,113.009479,23.063327,113.00417988173167,23.06600826813392,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP500I4,官窑收费站(S8广佛肇高速出口官窑方向),道路附属设施;收费站;收费站,180200,[],南海区,113.045761,23.210561,113.040336745467,23.21308682128801,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP500I3,官窑收费站(S8广佛肇高速入口西向),道路附属设施;收费站;收费站,180200,[],南海区,113.046806,23.211171,113.04137894572033,23.21369431695729,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7SP500C9,佛高区乐平收费站(S16佛清从高速出口),道路附属设施;收费站;收费站,180200,[],三水区,113.034271,23.250623,113.0288768802235,23.25316285939811,[],广东省,佛山市,三水区,道路附属设施,收费站,收费站
BZ7RP500I7,官窑收费站(S8广佛肇高速入口东向),道路附属设施;收费站;收费站,180200,[],南海区,113.056176,23.210676,113.05072616248428,23.21318070450664,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP500HT,官窑收费站(S8广佛肇高速出口官窑方向),道路附属设施;收费站;收费站,180200,[],南海区,113.055635,23.211258,113.05018634233478,23.2137634954476,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP6018I,里广路收费站(S47广佛江珠高速出口江门方向),道路附属设施;收费站;收费站,180200,[],南海区,113.177124,23.21622,113.1717131743011,23.21878399782468,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP601I1,文教收费站(S47广佛江珠高速出口和顺方向),道路附属设施;收费站;收费站,180200,[],南海区,113.155743,23.241716,113.15029113139872,23.244231483457447,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP601I2,文教收费站(S47广佛江珠高速入口江门方向),道路附属设施;收费站;收费站,180200,[],南海区,113.155142,23.241468,113.14968910122025,23.24398249009544,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP601AP,里和收费站(S8广佛肇高速出口里水方向),道路附属设施;收费站;收费站,180200,[],南海区,113.148622,23.229954,113.14315891620166,23.23246099064971,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP6018B,里和收费站(S8广佛肇高速入口东向),道路附属设施;收费站;收费站,180200,[],南海区,113.14859,23.229428,113.14312690019484,23.2319351137564,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP6018T,里广路收费站(S47广佛江珠高速出口里水方向),道路附属设施;收费站;收费站,180200,[],南海区,113.174278,23.179895,113.16886431633392,23.18246672188535,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7SP600WE,文教收费站(S47广佛江珠高速出口和顺方向),道路附属设施;收费站;收费站,180200,[],南海区,113.1467,23.254469,113.14123216521168,23.25696480705925,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7RP6018S,里广路收费站(S47广佛江珠高速入口江门方向),道路附属设施;收费站;收费站,180200,[],南海区,113.173638,23.181691,113.16822299655996,23.18426084141044,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
BZ7SP600WF,文教收费站(S47广佛江珠高速入口北向),道路附属设施;收费站;收费站,180200,[],南海区,113.147199,23.254712,113.14173194026182,23.25720855404128,[],广东省,佛山市,南海区,道路附属设施,收费站,收费站
