id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFHBVY18,失物招领(深圳宝安国际机场T3航站楼),室内设施;室内设施;室内设施|生活服务;生活服务场所;生活服务场所,970000|070000,[],福永街道深圳宝安国际机场(机场地铁站A口旁)深圳宝安国际机场T3航站楼4F层,113.814538,22.625946,113.80948344402846,22.628873397945046,[],广东省,深圳市,宝安区,室内设施,室内设施,室内设施
B0FFJH94TZ,郭姐改衣(印力中心),室内设施;室内设施;室内设施|生活服务;生活服务场所;生活服务场所,970000|070000,[],农林路69号深国投广场B1一K25A,114.011217,22.545142,114.0061939215673,22.547975300458543,[],广东省,深圳市,福田区,室内设施,室内设施,室内设施
B0FFH919DF,安全检查(深圳站),室内设施;室内设施;室内设施|生活服务;生活服务场所;生活服务场所,970000|070000,[],建设路1001号深圳站1F层,114.117755,22.530623,114.11265488827767,22.53331307084872,[],广东省,深圳市,罗湖区,室内设施,室内设施,室内设施
